Sampling Period,Sampling Location,Radionuclide,Result (pCi/m3),Counting Error (pCi/m3),Minimum Detectable Activity 95% (pCi/m3,Total Effective Dose Equivalent (millirem),NRC Effluent Air Conc. Limit (pCi/m3)
2012Q4,Humboldt Bay,Potassium-40,0.000922,0.000451,0.00207,0,600
2012Q4,Humboldt Bay,Niobium-95,0.000107,0.000108,0.00034,0,2000
2012Q4,Humboldt Bay,Zirconium-95,-0.000159,0.000102,0.000292,0,400
2012Q4,Humboldt Bay,Ruthenium-103,-0.000124,0.0000971,0.000246,0,900
2012Q4,Humboldt Bay,Ruthenium-106,-0.000112,0.000314,0.000796,0,20
2012Q4,Humboldt Bay,Cesium-137,-0.0000204,0.0000311,0.0000777,0,200
2012Q4,Humboldt Bay,Cerium-141,0.00012,0.000156,0.000438,0,800
2012Q4,Humboldt Bay,Cerium-144,0.000000915,0.000146,0.000423,0,20
2012Q4,"Richmond, CA",Beryllium-7,0.0856,0.0025,0.00392,0.000142667,30000
2012Q4,"Richmond, CA",Potassium-40,-0.0000786,0.000667,0.00314,0,600
2012Q4,"Richmond, CA",Niobium-95,0.0000121,0.000184,0.000494,0,2000
2012Q4,"Richmond, CA",Zirconium-95,0.000316,0.000141,0.000422,0,400
2012Q4,"Richmond, CA",Ruthenium-103,0.0000762,0.000137,0.000387,0,900
2012Q4,"Richmond, CA",Ruthenium-106,-0.000101,0.000415,0.00115,0,20
2012Q4,"Richmond, CA",Cesium-137,0.0000313,0.0000388,0.000112,0,200
2012Q4,"Richmond, CA",Cerium-141,-0.000146,0.000172,0.000808,0,800
2012Q4,"Richmond, CA",Cerium-144,-0.000317,0.000223,0.000657,0,20
2012Q4,Livermore,Beryllium-7,0.108,0.00298,0.00337,0.00018,30000
2012Q4,Livermore,Potassium-40,-0.000322,0.000597,0.00282,0,600
2012Q4,Livermore,Niobium-95,0.000359,0.000141,0.000442,0,2000
2012Q4,Livermore,Zirconium-95,-0.000124,0.000141,0.000378,0,400
2012Q4,Livermore,Ruthenium-103,-0.000113,0.000112,0.000315,0,900
2012Q4,Livermore,Ruthenium-106,0.00021,0.000367,0.00105,0,20
2012Q4,Livermore,Cesium-137,-0.0000397,0.0000362,0.0000959,0,200
2012Q4,Livermore,Cerium-141,0.000261,0.000179,0.000589,0,800
2012Q4,Livermore,Cerium-144,0.0000383,0.000183,0.000591,0,20
2012Q4,San Luis Obispo,Beryllium-7,0.106,0.00295,0.00335,0.000176667,30000
2012Q4,San Luis Obispo,Potassium-40,-0.000598,0.000558,0.00266,0,600
2012Q4,San Luis Obispo,Niobium-95,0.000151,0.000153,0.000447,0,2000
2012Q4,San Luis Obispo,Zirconium-95,0.00007,0.000133,0.000382,0,400
2012Q4,San Luis Obispo,Ruthenium-103,-0.000075,0.00012,0.00034,0,900
2012Q4,San Luis Obispo,Ruthenium-106,0.000125,0.000378,0.00107,0,20
2012Q4,San Luis Obispo,Cesium-137,0.0000656,0.0000363,0.000109,0,200
2012Q4,San Luis Obispo,Cerium-141,0.000442,0.000121,0.000548,0,800
2012Q4,San Luis Obispo,Cerium-144,0.000263,0.000184,0.000604,0,20
2012Q4,Diablo Canyon,Beryllium-7,0.084,0.00238,0.00312,0.00014,30000
2012Q4,Diablo Canyon,Potassium-40,-0.000614,0.000531,0.00253,0,600
2012Q4,Diablo Canyon,Niobium-95,0.000293,0.000133,0.000406,0,2000
2012Q4,Diablo Canyon,Zirconium-95,-0.000336,0.000137,0.000337,0,400
2012Q4,Diablo Canyon,Ruthenium-103,-0.000107,0.000107,0.000299,0,900
2012Q4,Diablo Canyon,Ruthenium-106,-0.000136,0.000339,0.00093,0,20
2012Q4,Diablo Canyon,Cesium-137,-0.0000198,0.0000349,0.0000947,0,200
2012Q4,Diablo Canyon,Cerium-141,0.000177,0.000164,0.000536,0,800
2012Q4,Diablo Canyon,Cerium-144,-0.0000959,0.000169,0.000536,0,20
2012Q4,San Onofre,Beryllium-7,0.0988,0.00281,0.00388,0.000164667,30000
2012Q4,San Onofre,Potassium-40,0.000569,0.000642,0.00299,0,600
2012Q4,San Onofre,Niobium-95,0.000211,0.000169,0.000479,0,2000
2012Q4,San Onofre,Zirconium-95,-0.0000193,0.000151,0.0004,0,400
